id;titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios;imagem
622;Macarrão ao creme de ricota e limão, simples e delicioso!;Prato Principal;Muito Fácil;20 min;515 Kcal;3.86;180 gr de macarrão (espaguete ou bigoli por exemplo) | 1 col. sopa manteiga | 125 gr de ricota | 1 limão siciliano (orgânico) | sal | pimenta | salsinha;Cozinhe o macarrão numa panela alta com bastante água e um pouco de sal. | Enquanto isso, na frigideira e no fogo baixo, derreta a manteiga, acrescente a ricota e algumas colheres de água do cozimento do macarrão. Misture. | Acrescente uma colher de sopa do sumo de limão e algumas raspas. Misture novamente e retire do fogo. | Assim que o macarrão estiver al dente, escorra-o e coloque-o na frigideira, onde está o creme. Se precisar, coloque um pouco de água do cozimento. | Deixe tudo incorporado e está pronto. Sirva no prato e polvilhe com raspas de limão e salsinha picada. Bom apetite!;Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/macarrao-ao-creme-de-ricota-e-limao-simples-e-delicioso--467699p747000.webp
623;Costeletas de porco na manteiga e na frigideira;Prato Principal;Muito Fácil;17 min;558 Kcal;4;2 costeletas de porco (ou bisteca) | 20 gr manteiga | sal | pimenta;Retire a carne 10 a 15 minutos do frio (geladeira) e deixe na temperatura ambiente antes do cozimento. Tempere com sal e pimenta ambos os lados. | Na frigideira, aqueça a manteiga. | Assim que a frigideira estiver bem quente e a manteiga com bolhas, coloque as costeletas e porco no fogo alto por 2 minutos cada lado. | Em seguida, baixe o fogo e deixe cozinhar por uns 10 minutos (em função da espessura da carne). | Apague o fogo e tampe (tape) a panela para deixar a carne suculenta até a hora de servir. Bom apetite!;Sem glúten | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/costeletas-de-porco-na-manteiga-e-na-frigideira--462880p732638.webp
624;Macarrão com chouriço (muito fácil);Prato Principal;Muito Fácil;40 min;615 Kcal;3.57;125 gr de chouriço | 1 dente de alho | 1/2 cebola | 1/2 pimentão (vermelho) | 400 gr de molho de tomate | 1 punhado de salsa (cerca 5 gr) | 50 ml natas (creme de leite) | 200 gr de macarrão;Corte o chouriços em rodelas e depois em 4 pedaços cada uma. Refogue-os na frigideira por uns 2 minutos. Reserve-os. | Refogue o dente de alho amassado com a cebola picada com a gordura do chouriço. Junte o pimentão cortado em tire e refogue novamente por alguns minutos. | Ainda na frigideira, acrescente o molho de tomate, o chouriço e cubra. Deixe cozinhando por 20 a 25 minutos. Neste momento, cozinhe o macarrão al dente. | Na frigideira, junte as natas (creme de leite) e a salsa. Deixe ainda por 2 a 4 minutos (para pegar o gosto). Termine juntando o macarrão cozido. Misture. | Sirva no prato. Pode ser decorado ainda com chouriço e salsa. Bom apetite!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/macarrao-com-chourico-muito-facil--457614p713558.webp
625;Queijo empanado crocante com batatinhas douradas na airfryer;Prato Principal;Muito Fácil;21 min;1085 Kcal;3.67;300 gr de queijo Caprice des dieux (brie jovem ou camembert suave) | 30 g de farinha trigo | 60 g de pao ralado (farinha de rosca) | 2 ovos;Prepare as batatas: lave e corte em cubos, depois tempere com alho em pó, alecrim, azeite de oliva, sal e pimenta. | Coloque as batatas no cesto da Airfryer e asse a 190°C por 20 minutos, mexendo na metade do tempo. | Prepare três tigelas: uma para o pão ralado (farinha de rosca), a segunda para a farinha de trigo e outra para os ovos batidos. | Mergulhe o queijo inteiro na farinha de trigo, no ovo e no pão ralado (farinha de rosca). | Para obter uma camada mais espessa e crocante, é melhor mergulhar uma segunda vez no ovo e depois na farinha de rosca. | Coloque o queijo no cesto da Air Fryer com papel vegetal e asse a 190°C por 16 minutos, virando na metade do tempo. | Retire a tampa do queijo (que você pode comer!) e mergulhe as batatas dentro dele, bom apetite! :);Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/queijo-empanado-crocante-com-batatinhas-douradas-na-airfryer--485216p823291.webp
626;Canelone recheado com molho bechamel, cogumelos e linguiça;Prato Principal;Muito Fácil;55 min;2502 Kcal;4;10 canelones | 200 gr de cogumelo s | 180 gr de salsicha fresca (linguiça) | 25 gr de queijo parmesão ralado (+ um pouco para gratinar) | 30 ml de vinho branco seco | cebola q.b. | azeite q.b. | pimenta do reino q.b.;Molho bechamel: Aqueça o leite em uma panela pequena. Enquanto isso, derreta a manteiga em outra panela e incorpore toda a farinha de uma só vez, mexendo vigorosamente com um fouet (varinha de arames) até que a mistura fique lisa e homogênea, ou seja, o roux. | Incorpore o leite quente, um pouco de cada vez, mexendo continuamente para evitar grumos. | Continue cozinhando o molho bechamel, mexendo até ficar liso e homogêneo. Desligue o fogo e acrescente a noz-moscada e uma pitada de sal. Em seguida, misture bem e reserve. | Recheio: Retire o invólucro da salsicha fresca (linguiça) e pique-as grosseiramente, nem pequenos, nem grandes demais. | Limpe os cogumelos com um pano úmido, remova a parte terrosa do caule e corte-os em pedaços pequenos. | Coloque um pouco de azeite na frigideira, adicione a cebola picada e deixe dourar por alguns minutos. Acrescente a salsicha fresca (linguiça) e, quando estiver levemente dourada, deglaceie com vinho branco. | Quando o vinho tiver evaporado quase completamente, adicione os cogumelos picados e um pouco mais de azeite. Em seguida, continue o cozimento por cerca de 15 minutos, mexendo ocasionalmente. Tempere com sal e pimenta. | Transfira tudo para uma tigela grande e deixe esfriar por alguns minutos. Agora, adicione cerca de 2/3 do molho bechamel e o queijo parmesão ralado. | Mexa até ficar homogêneo. | Pré-aqueça o forno a 180°C. Recheie os canelones com essa mistura usando um saco confeiteiro com um furo razoavelmente grande (ou uma colher de chá). | Espalhe uma colherada de molho bechamel no fundo do pirex e coloque os canelones quando estiverem prontos. | Cubra os canelones com o molho bechamel restante e polvilhe com parmesão. Asse por 25 minutos a 180°C. | Os canelones com cogumelos e linguiça estão prontos!;;https://pt.petitchef.com/imgupl/recipe/canelone-recheado-com-molho-bechamel-cogumelos-e-linguica--469443p754309.webp
627;Batata doce gratinada com leite de coco e caril (curry);Prato Principal;Muito Fácil;35 min;403 Kcal;3.83;1kg de batata doce (usamos 2 grandes) | 1 cebola roxa | 400 ml leite coco | 2 col. sopa caril (curry) | sal | pimenta;Descasque as batatas doces e corte-as em pedaços. Faça o mesmo com a cebola. | Cozinhe-os (batata e cebola) ao vapor. | Assim que as batatas estiverem cozidas (verifique com a ponta da faca), transfira tudo numa travessa (batatas e cebola). | Numa tigela, misture o leite de coco, o caril (curry), sal e pimenta. Experimente e ratifique se precisar. Espalhe o líquido por cima das batatas/cebola. | Leve ao forno por 15 minutos a 200°C. Bom apetite!;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/batata-doce-gratinada-com-leite-de-coco-e-caril-curry--461931p729209.webp
628;One pot pasta - salmão e brócolis;Prato Principal;Muito Fácil;20 min;600 Kcal;3.83;170 gr tagliatelle (talharim) | 100 gr de brócolis /brócolos | 90 gr de salmão defumado | 1 dente de alho | 100 ml nata/creme de leite | 375 ml de água | pimenta;Dentro da panela e nesta ordem, coloque: os tagliatelles, e então os floretes de brócolis. | Junte o salmão cortado em pedaços, o dente de alho amassado, a nata/creme de leite, a água fria e a pimenta. | Leve a panela/tacho ao fogo médio e deixe cozinhando por 15 minutos misturando regularmente. No final do cozimento, deverá sobrar um pouco de líquido no fundo. Isso é normal. | Está pronto o ONE POT PASTA!!!!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/one-pot-pasta-salmao-e-brocolis--454877p705788.webp
629;Macarrão cremoso com cogumelos: fácil de fazer, difícil de esquecer;Prato Principal;Muito Fácil;20 min;885 Kcal;3.8;180 g de macarrão | 250 g de cogumelo s | 150 ml de natas (creme de leite) | 30 g de queijo parmesão ralado | 1 dente de alho | 30 g de vinho branco | 1 col. sopa de manteiga | azeite de oliva a gosto | pimenta do reino a gosto (opcional);Limpe os cogumelos com um pano úmido, remova a extremidade do caule e corte-os em fatias finas para garantir um cozimento uniforme e suave. | Doure o alho na manteiga e no azeite, acrescente os cogumelos e cozinhe em fogo alto por 5 minutos. Deglaceie com vinho e deixe evaporar. Abaixe o fogo, cozinhe por 10 minutos, retire o alho, adicione as natas (creme de leite) e continue cozinhando em fogo baixo, mexendo. | Cozinhe o macarrão al dente em bastante água com sal, escorra-o e coloque-o na frigideira com o molho de cogumelos, acrescentando queijo parmesão para deixar o prato cremoso. | Sirva o macarrão bem quente. Se desejar, polvilhe com queijo parmesão ralado e uma pitada de pimenta-do-reino.;Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/macarrao-cremoso-com-cogumelos-facil-de-fazer-dificil-de-esquecer--489855p844118.webp
630;Sopa de feijão e macarrão;Prato Principal;Muito Fácil;27 min;310 Kcal;4;120 gr macarrão | 160 gr feijão (já cozido) | 100 gr purê de tomate (ou tomates pelados) | 1 dente de alho | água | sal | pimenta;Numa panela, frite o alho inteiro com um pouco de azeite. Acrescente em seguida, o purê de tomate e deixe cozinhar no fogo médio, por alguns minutos. | Acrescente o feijão e deixe pegar gosto por cerca de 4 minutos. Passado esse tempo, retire o alho e reserve 1 col. grande do feijão com molho. | Na panela, coloque um copo de água quente. Tampe e deixe o feijão amolecer no fogo baixo, entre 8 a 10 minutos. | Acrescente então o macarrão na mesma panela e deixe cozinhar, mexendo sempre para que os grãos mais macios comecem a se desfazer, formando um creme (se o feijão ainda estiver um pouco duro, amasse com uma colher de pau). | Assim que a consistência ficar cremosa, verifique se o macarrão está cozido. Caso ainda esteja duro, acrescente mais água quente e deixe ainda cozinhar por alguns minutos. Adicione o feijão reservado. Tempere com sal e pimenta. | Está pronto. É só servir!;Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/sopa-de-feijao-e-macarrao--467038p744764.webp
631;Risoto vegetariano - tomates secos e champignons;Prato Principal;Muito Fácil;55 min;686 Kcal;4;20 gr de champignons desidratados | 40 gr de tomates secos desidratados | 200 gr de arroz redondo (arbóreo) | 1 col. chá ervas aromáticas | 10 gr pinhões | 1 col. sopa de azeite | 1 cebola (pequena) | 100 ml vinho branco | 400 ml caldo | sal | pimenta | 50 gr de parmesão (ralado);Corte a cebola em quadrados e refogue-as na panela com um fio de azeite. Acrescente o arroz e mexa até ficar translúcido. | Junte as ervas, os tomates secos e os champignons. Mexa. | Acrescente o vinho branco e misture até absorver todo o líquido. Em seguida, junte metade do caldo e tempere com sal e pimenta. No fogo médio, continue mexendo até total absorção. | Acrescente a outra metade do caldo e mexa até absorver todo o líquido. Junte o parmesão e misture. Por último os pinhões. | Está pronto. Na hora de servir, decore com pinhões se preferir. Bom apetite!;;https://pt.petitchef.com/imgupl/recipe/risoto-vegetariano-tomates-secos-e-champignons--459030p718454.webp
632;Salada de macarrão com pesto de rúcula, tomate cereja e mussarela;Prato Principal;Muito Fácil;35 min;896 Kcal;4;180 g de macarrão curto (nós usamos penne rigate) | 12 tomates- cereja | 1 mussarela | azeite de oliva a gosto;Cozinhe o macarrão em bastante água com sal, seguindo cuidadosamente os tempos indicados na embalagem para obter um cozimento al dente perfeito. | Enquanto isso, lave bem a rúcula, seque-a e transfira-a para o liquidificador junto com os pinhões, o queijo parmesão e o alho (sem alma). Bata no liquidificador em velocidade baixa para começar a criar a base do pesto. | Acrescente uma pitada de sal, regue com o azeite de oliva extra virgem e continue batendo até obter um pesto de rúcula com consistência cremosa e homogênea. | Quando o macarrão estiver cozido, escorra-o e passe-o por água fria para interromper o processo de cozimento. Transfira para uma saladeira grande. | Lave os tomates-cereja, seque-os e corte-os em quatro fatias. Corte também a mussarela em cubos. | Tempere a massa com o pesto de rúcula, os tomates-cereja e um fio de azeite de oliva extra virgem. Mexa cuidadosamente para distribuir bem o molho. | Coloque no prato, acrescente a mussarela em cubos e sirva. O macarrão frio com pesto de rúcula, tomates-cereja e mussarela está pronto.;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/salada-de-macarrao-com-pesto-de-rucula-tomate-cereja-e-mussarela--484271p819150.webp
633;Macarrão com molho de abóbora e salsicha fresca (linguiça);Prato Principal;Muito Fácil;35 min;521 Kcal;4;180 gr de macarrão (rigatoni, paccheri, mezze maniche) | 100 gr salsicha fresca (linguiça) | 230 gr de abóbora | 10 gr de parmesão ralado | 25 ml vinho branco | cebola q.b. | alecrim q.b.;Retire a película da salsicha fresca (linguiça) e recupere apenas a carne. Corte-a em pequenos pedaços. | Na frigideira, coloque um fio de azeite e doure os pedaços no fogo médio por cerca de 4 minutos. Acrescente o vinho e deixe evaporar quase completamente. Reserve numa tigela. | Limpe a abóbora, retire a casca e corte-a em quadrados pequenos. Pique a cebola. | Na mesma frigideira, acrescente um fio de azeite e doure a cebola. Acrescente alguns raminhos de alecrim. Em seguida, os pedaços de abóbora e deixe cozinhar por alguns minutos, mexendo com uma colher de pau. | Retire os ramos de alecrim. Coloque 1/2 copo de água e tampe a panela. Deixe cozinhar no fogo médio por cerca de 18 minutos. | Numa panela alta, comece a cozinhar o macarrão em água fervente. Na frigideira, amasse a abóbora com uma colher de pau (deve ficar quase um puré) e junte a linguiça cozida que reservou, jogue um pouco de pimenta preta e misture bem. Despeje uma colher de água do cozimento do macarrão e deixe a panela em fogo baixo enquanto espera o macarrão ficar pronto. | Assim que o macarrão estiver al dente, escorra e acrescente-o na frigideira onde está o molho. Junte o parmesão e refogue rapidamente, só para dar a liga. | Sirva quente. Bom apetite!;Sem açúcar;https://pt.petitchef.com/imgupl/recipe/macarrao-com-molho-de-abobora-e-salsicha-fresca-linguica--466884p744283.webp
634;Trofie ao molho boscaiola, receita italiana feito com bacon, cogumelos e creme de leite;Prato Principal;Muito Fácil;30 min;720 Kcal;3.5;200 g de macarrão trofie (ou outro formato) | 100 g de bacon (clássico ou defumado) | 200 ml molho tomate | 130 g de cogumelos de Paris | 1/2 cebola (cerca 40 g) | 70 ml natas (creme de leite) | salsinha | azeite | sal | pimenta;Numa frigideira, refogue a cebola picadinha com um pouco de azeite por alguns minutos. | Acrescente o bacon e deixe dourar por 3 minutos, mexendo de vez em quando. | Limpe os cogumelos e corte-os em pedaços. Junte-os na preparação e deixe ainda por 6 minutos no fogo médio. | Em seguida, acrescente o molho de tomate e tempere com sal e pimenta. Deixe refogar no fogo baixo, entre 10 a 12 minutos. Mexa de veze em quando. | Junte as natas e deixe por mais 5 minutos. | Cozinhe o macarrão conforme indicação da embalagem. Assim que estiver pronto, coloque o macarrão escorrido na frigideira do molho. Junte também uma concha (ou menos) da água do cozimento. Misture e deixe até ficar cremoso. | Polvilhe com salsinha e está pronto!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/trofie-ao-molho-boscaiola-receita-italiana-feito-com-bacon-cogumelos-e-creme-de-leite--466826p744083.webp
635;Rolinhos de curgetes (abobrinhas) recheadas com queijo e presunto;Prato Principal;Muito Fácil;25 min;411 Kcal;3.5;1 curgete (200 gr abobrinha) | 100 gr de queijo (emmental, mozzarela ou outro) | 80 gr de presunto (apresuntado) | pão ralado (farinha rosca) | azeite | pimenta;Pré-aqueça o forno a 180°C. Lave as curgetes (abobrinha) e corte-as em fatias de aproximadamente 3/4 cm de espessura com a ajuda de um mandoline ou uma faca. | Num prato, misture o pão ralado (farinha de rosca) e a pimenta. Pincele os dois lados das curgetes (abobrinhas) com azeite. Em seguida, empane-as. | Coloque as curgetes na assadeira já forrada com papel vegetal (papel manteiga). Leve-as ao forno por 10 minutos a 180°C. Retire-as e deixe-as esfriar. | Enquanto isso, corte o queijo e o presunto do mesmo tamanho (ou menor) que as fatias de curgete (será mais fácil que enrolar). | Montagem: Numa tábua, coloque uma fatia de curgete, por cima, o queijo e depois o presunto. Enrole e fure com o espeto molhado. Faça todas as fatias. | Coloque os rolinhos num prato e verta/despeje um fio de azeite por cima. Leve ao forno por 10 minutos a 180°C. | Está pronto!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/rolinhos-de-curgetes-abobrinhas-recheadas-com-queijo-e-presunto--463278p733435.webp
636;Gratinado de alho-porro (alho-poró) com presunto e queijo;Prato Principal;Muito Fácil;40 min;513 Kcal;3.75;4 alhos -porros (alhos-porós) | 3 col. sopa azeite | 3 fatias de presunto (fiambre) | 5 fatias de queijo (usamos o Edam) | 150 gr de queijo ralado (parmesão) | sal | pimenta;Retire as extremidades e as folhas danificadas dos alhos-porós. Conserve as partes branca e verde mais macias. Limpe, seque e corte em pedaços. | Na panela de pressão (ou clássica), coloque o azeite e refogue o alho-poró por 4 minutos. Mexa de vez em quando. | Acrescente a água. Tampe e cozinhe na pressão por 10 minutos. Na panela clássica, o tempo é de 20 minutos. | Deixe a pressão sair. Abra a panela e escorra os alhos-porros o máximo que puder. Tempere com sal e pimenta. Se preferir, junte também noz moscada. | Pré-aqueça o forno a 200°C. Coloque os alhos-porros cozidos na travessa. Cubra-os com queijo e presunto. Polvilhe com queijo ralado (parmesão). | Leve ao forno por 10 minutos a 200°C no calor convencional. Em seguida, no modo gratinar por alguns minutos até dourar. O tempo pode variar de um forno a outro. Está pronto!;Sem glúten | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/gratinado-de-alho-porro-alho-poro-com-presunto-e-queijo--462362p731049.webp
637;Tacos vegetarianos;Prato Principal;Muito Fácil;50 min;477 Kcal;3.5;8 tortilhas (de trigo) | 80 gr de lentilhas verdes | 250 ml água fria | 1/2 cebola roxa | 150 gr de tomates cerejas | 1 abacate | 2 limões verdes | 15 gr de coentro (ou salsa) | 100 gr de queijo feta;Prepare suas tortilhas de trigo (ou compre-as prontas). | Prepare a salada de lentilhas: Numa panela com água fria, coloque as lentilhas (deve ficar coberta de água), tampe e deixe cozinhar por 25 minutos. Escorra e deixe arrefecer (esfriar). | Numa tigela, coloque as lentilhas, os tomates cerejas cortados e a cebola picada. Se preferir, misture também o queijo feta ou coloque-o na etapa da montagem do tacos. Tempere sua salada. | Corte o abacate em lâminas. Corte também o limão em 4 partes. Pique o coentro (ou salsa). Coloque-os em recipientes diferentes. Vamos usa-los na montagem. | Prepare o vinagre: pique todos os ingredientes (sólidos), junte os líquidos e tempere. Misture bem. | Está tudo pronto. Coloque tudo na mesa e sirva-se. Faça a ordem que desejar: salada de lentilhas, vinagrete, abacate, queijo feta, etc..;Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/tacos-vegetarianos--457688p713790.webp
638;Muffins recheados com ovos e bacon;Prato Principal;Muito Fácil;25 min;309 Kcal;3.75;4 muffins ingleses (ver receita chamada muffin inglês) | 100 gr de bacon (toucinho) | 4 ovos | 50 gr de queijo ralado;Grelhe os bacons. Corte o muffin em duas partes e coloque o bacon por cima. | Unte bem a forma para muffins. Quebre um ovo em cada compartimento (total 4). Leve ao forno por 10 minutos a 180°C. | Coloque então o ovo cozido sobre o bacon e polvilhe com queijo ralado. Feche o muffin com sua outra metade. | Bom apetite!!!!!!!;;https://pt.petitchef.com/imgupl/recipe/muffins-recheados-com-ovos-e-bacon--454475p704856.webp
639;Macarrão cremoso com brócolis e amêndoas: um prato fácil de preparar e saboroso;Prato Principal;Muito Fácil;25 min;640 Kcal;4.25;190 g de macarrão | 200 g de brócolis (somente floretes) | 1 dente de alho | 50 g de amêndoas (descascadas) | 1 col. de sopa de queijo parmesão ralado | azeite | sal | pimenta;Numa panela alta, ferva a água com um pouco de sal. Enquanto isso, limpe os brócolis e retire apenas os floretes. | Cozinhe o brócolis por cerca de 12 minutos, acrescentando o dente de alho. | Enquanto isso, toste as amêndoas em uma frigideira antiaderente. | Quando estiverem prontos, recupere o brócolis e o alho com uma escumadeira (não jogue fora a água do cozimento, pois você precisará dela para cozinhar o macarrão) e coloque-os no liquidificador. Adicione também o queijo parmesão, 2/3 das amêndoas torradas (1/3 será necessário para a decoração do prato), um fio de azeite e uma pitada de pimenta. | Bata até ficar homogêneo. | Cozinhe o macarrão na água do cozimento dos brócolis. | Despeje o creme de brócolis na frigideira usada para torrar as amêndoas e dilua com a água do cozimento. | Quando o macarrão estiver al dente, escorra-o (sempre reserve um pouco da água do cozimento) e coloque-o na panela com o creme de brócolis e amêndoas. | Mexa até que o macarrão e o creme estejam completamente misturados. Adicione um pouco de água do cozimento se o creme parecer muito espesso. | Sirva e polvilhe com as amêndoas picadas grosseiramente (as que foram reservadas anteriormente). O macarrão com creme de brócolis e amêndoas está pronto!;Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/macarrao-cremoso-com-brocolis-e-amendoas-um-prato-facil-de-preparar-e-saboroso--473708p772698.webp
640;Macarrão ao creme de ricota e nozes, simplesmente irresistível;Prato Principal;Muito Fácil;15 min;605 Kcal;4;180 g de macarrão | 20 g de cebola | azeite | 125 g de ricota | 15 g de nozes | noz-moscada | sal;Primeiro, cozinhe o macarrão com bastante água e sal. | Enquanto isso, numa frigideira, refogue no azeite, a cebola picadinha por alguns minutos. | Pique as nozes, adicione-as à frigideira e mexa. Deixe tostar rapidamente, mas sem queimar. | Numa tigela, misture a ricota com uma pitada de noz-moscada, 1 colher de sopa de água do cozimento do macarrão e uma pitada de sal. | Adicione o creme de ricota à frigideira onde está as nozes. Mexa, abaixe o fogo e deixe pegar gosto por alguns minutos. | Escorra o macarrão al dente, reservando um pouco da água do cozimento. Coloque o macarrão na frigideira e misture bem todos os ingredientes (adicione água do cozimento, se necessário). | Se preferir, polvilhe com parmesão, nozes e algumas folhas de manjericão. Bom apetite!;Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/macarrao-ao-creme-de-ricota-e-nozes-simplesmente-irresistivel--468977p752221.webp
641;Risoto de beterraba e gorgonzola: uma explosão de cores e sabores intensos;Prato Principal;Muito Fácil;35 min;689 Kcal;4;160 gr de arroz (de risoto) | 500 ml caldo de legumes | 120 gr de beterraba cozida | 100 ml água | 15 gr (1/4) de cebola (pequena) | 130 ml de vinho branco seco | 100 gr de gorgonzola (suave) | 20 gr (1 col. sopa cheia) de manteiga | 25 gr de queijo parmesão ralado;Prepare o caldo de legumes em uma panela (se estiver com pouco tempo, o caldo preparado com um cubo de caldo de legumes, dissolvido com 500 ml de água quente, também serve). | Retire a pele da beterrada cozida e corte-a em pedaços (recomendamos o uso de luvas, pois ela mancha muito). | Purê de beterraba: Coloque os pedaços de beterraba cozida no mixer, acrescente água aos poucos até obter uma consistência cremosa. Reserve. | Pique a cebola finamente e doure-a em uma frigideira com um pouco de manteiga. Em seguida, adicione o arroz e deixe cozinhar até ficar translúcido, mexendo sempre. | Regue com o vinho branco e, uma vez evaporado, comece a cozinhar completamente o arroz, acrescentando aos poucos o caldo de legumes (acrescente uma concha depois de absorvida a anterior). | Quando estiver quase cozido (5 minutos antes do final), adicione o purê de beterraba e misture bem. Em seguida, termine o cozimento. | Retire a frigideira do fogo e acrescente o gorgonzola cortado em pedaços pequenos, os 20 g de manteiga e 25 g de queijo parmesão. Prove e ajuste o sal, se necessário. | O risoto de beterraba e gorgonzola está pronto!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/risoto-de-beterraba-e-gorgonzola-uma-explosao-de-cores-e-sabores-intensos--468915p751985.webp
642;Frango empanado com amendoim (sem fritura);Prato Principal;Muito Fácil;30 min;38 Kcal;4;2 peitos de frango | 70 gr de amendoim (torrados e sem sal) | 1 ovo;No mixer, coloque os amendoins e bata-os rapidamente. A ideia é transformá-los em pedaços menores. Deixe-os num prato. | Numa tigela, bata um ovo. Corte cada peito de frango em dois pedaços (sentido comprimento). | Pré-aqueça o forno a 200°C. Cubra a assadeira com papel vegetal (papel manteiga). | Pegue a primeira metade do frango, mergulhe no ovo batido e em seguida, empane com os amendoins. Coloque-o na assadeira e repita o mesmo processo para os demais pedaços. | Leve ao forno por 20 minutos a 200°C. Bom apetite!;Sem lactose | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/frango-empanado-com-amendoim-sem-fritura--464624p736631.webp
643;Lentilha com salsicha defumada;Prato Principal;Muito Fácil;1 h 10 m;344 Kcal;4;1 salsicha de Morteau/Belle de Morteau (linguiça defumada) | 500 gr de lentilhas verdes | 4 fatias de bacon (grossas ou 8 fatias finas) | 1 cebola | 1 cravo-da-índia (cravinho) | 1 talo de aipo | 3 a 4 cenouras | louro (folhas) | tomilho | azeite | 1L de água;Lave as lentilhas e reserve-as. Numa panela pequena, ferva a água, em seguida baixe o fogo, coloque as fatias de bacon e deixe-as cozinhar entre 4 a 5 minutos. | Escorra-as e corte-as em 3 pedaços. Numa panela maior, coloque 1 fio de azeite e refogue as fatias de bacon. | Acrescente as lentilhas, espete o cravo na cebola e coloque-a também na panela, assim como o louro, o tomilho, as cenouras cortadas em rodelas e o aipo. Cubra tudo com 1 litro de água. | Leve ao fogo alto. Assim que ferver, diminua o fogo, coloque a salsicha inteira e deixe cozinhar com uma tampa por 25 minutos. Em seguida, retire a salsicha e corte-a em rodelas. | Retire também o aipo, as folhas de louro e a cebola. | Agora é só servir. Primeiro as lentilhas e por cima, as rodelas de salsicha. PS: se preferir, misture as lentilhas com a salsicha no final.;;https://pt.petitchef.com/imgupl/recipe/lentilha-com-salsicha-defumada--462767p732180.webp
644;Paella super rápida na panela de pressão (cookeo);Prato Principal;Muito Fácil;35 min;676 Kcal;4;400 gr de arroz (para paella) | 8 camarões | 2 coxas de frango | 1 caldo em cubo (escolha o sabor) | sal | pimenta | 3 doses (1,8gr) de spigol (ou mistura de especiarias: cúrcuma, colorau, gengibre, açafrão (3%), pimenta preta, semente de coentro , pimenta da Jamaica, noz-moscada, sal e colorau) | 1 pimentão vermelho | 1 pimentão verde | 2 tomates | 2 dentes de alho | 900 ml água | 250 gr de mexilhão congelado (ou fresco) | 200 gr de ervilhas (não cozidas) | 1 col. sopa azeite | salsa (1 ramo pequeno) | 1/2 limão siciliano;Prepare os ingredientes: corte os pimentões em tiras, os tomates em tiras mais finas, amasse os olhos, corte o frango em pequenos pedaços. | Prepare a panela de pressão (usamos a Cookeo ). | Verta/despeje o azeite. Acrescente os pedaços de frango e refogue-os ligeiramente por 1 minuto. | Junte os pimentões, os tomates, o arroz, os camarões, os mexilhões e as ervillhas. | Acrescente os temperos: sal, pimenta, alho, caldo em cubo e a mistura de especiarias. | Verta/despeje a água e misture tudo. Caso use a Cookeo, use uma espátula de silicone para não arranhar a panela. | Feche a tampa. Deixe na pressão por 20 minutos. | Quando o cozimento terminar, coloque no prato de servir, pique a salsa e coloque o limão no centro.;Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/paella-super-rapida-na-panela-de-pressao-cookeo--462270p730741.webp
645;Arroz cantonês na panela de pressão;Prato Principal;Muito Fácil;10 min;376 Kcal;4;2 col. sopa óleo neutro (usamos óleo sésamo grelhado) | 2 ovos | pimenta | 1 chalota picada | 240 gr de arroz | 350 ml água | 100 gr de ervilha | 150 gr  cubos de presunto (frango ou peru) | 1 col. sopa molho soja shoyu (salgado);Bata os ovos com um pouco de pimenta. | Cozinhe os ovos batidos na panela com um pouco de óleo. Reserve. | Coloque agora as chalotas picadas e o presunto na panela e deixe refogar um pouco. | Acrescente as ervilhas, o arroz, a água e o molho shoyu. Tampe a panela e deixe cozinhar na pressão por 6 minutos. | Corte a omelete em pequenos pedaços e misture com o arroz. | Está pronto. Na hora de servir, polvilhe com coentro e sésamo (gergelim).;Sem açúcar;https://pt.petitchef.com/imgupl/recipe/arroz-cantones-na-panela-de-pressao--462183p730382.webp
